Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
jnk2,GenScore(ft_0.5),,0.471,0.417,,,,,,24.72,17.31,3.58,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
jnk3,GenScore(ft_0.5),,0.827,0.672,,,,,,26.59,19.09,10.17,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
kif11,GenScore(ft_0.5),,0.911,0.259,,,,,,4.35,7.03,5.49,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
lck,GenScore(ft_0.5),,0.791,0.831,,,,,,30.77,28.21,11.79,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
mdm2,GenScore(ft_0.5),,0.878,0.667,,,,,,22.15,24.92,12.74,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
mk2,GenScore(ft_0.5),,0.863,0.558,,,,,,26.31,21.05,9.1,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
mmp2,GenScore(ft_0.5),,0.568,0.008,,,,,,0,0,0.5,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
na,GenScore(ft_0.5),,0.999,1.058,,,,,,30.92,30.92,19.45,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
p38-alpha,GenScore(ft_0.5),,0.776,0.807,,,,,,30.58,30.58,10.36,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
parp-1,GenScore(ft_0.5),,0.964,1.019,,,,,,30.15,30.15,17.3,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pde4b,GenScore(ft_0.5),,0.817,0.324,,,,,,8.99,12.1,6.6,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pde5,GenScore(ft_0.5),,0.745,0.53,,,,,,32.24,17.36,7.28,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pdk1,GenScore(ft_0.5),,0.975,0.994,,,,,,31.55,31.55,17.35,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pi3kg,GenScore(ft_0.5),,0.942,0.884,,,,,,30.74,28.18,14.35,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pim-1,GenScore(ft_0.5),,0.944,0.615,,,,,,17.63,18.98,12.64,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pim-2,GenScore(ft_0.5),,0.923,0.525,,,,,,13.23,11.87,12.15,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pnp,GenScore(ft_0.5),,0.73,0.79,,,,,,30.72,30.72,8.92,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ppara,GenScore(ft_0.5),,0.717,0.675,,,,,,28.97,24.15,8.13,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pparg,GenScore(ft_0.5),,0.713,0.139,,,,,,4.72,4.72,1.99,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pr,GenScore(ft_0.5),,0.743,0.223,,,,,,4.87,5.31,3.93,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
prkcq,GenScore(ft_0.5),,0.883,0.669,,,,,,10.47,18.33,14.66,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pygl-in,GenScore(ft_0.5),,0.937,0.981,,,,,,30.8,30.8,15.9,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
pygl-out,GenScore(ft_0.5),,0.83,0.575,,,,,,26.42,21.34,8.45,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
qpct,GenScore(ft_0.5),,0.81,0.823,,,,,,26.57,28.62,14.5,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
rock-1,GenScore(ft_0.5),,0.726,0.474,,,,,,13.23,14.25,8.1,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
rxr,GenScore(ft_0.5),,0.973,1.05,,,,,,24.79,24.79,17.04,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
sars-hcov,GenScore(ft_0.5),,0.55,0.054,,,,,,0,2.37,1.51,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
sirt2,GenScore(ft_0.5),,0.533,0.071,,,,,,0,2.34,2.5,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
src,GenScore(ft_0.5),,0.583,0.199,,,,,,8.89,7.18,4.08,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
thrombin,GenScore(ft_0.5),,0.945,0.948,,,,,,31.74,31.74,16.13,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
tie2,GenScore(ft_0.5),,0.605,0.57,,,,,,30.62,25.51,6.12,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
tk,GenScore(ft_0.5),,0.709,0.283,,,,,,4.4,11.86,4.97,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
tp,GenScore(ft_0.5),,0.672,0.607,,,,,,20.9,22.8,7.38,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
tpa,GenScore(ft_0.5),,0.905,0.914,,,,,,30.58,30.58,13.99,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
ts,GenScore(ft_0.5),,0.7,0.259,,,,,,4.34,4.67,5.47,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
upa,GenScore(ft_0.5),,0.717,0.797,,,,,,29.88,27.39,9.96,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
vegfr1,GenScore(ft_0.5),,0.661,0.452,,,,,,19.84,19.84,5.74,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
vegfr2,GenScore(ft_0.5),,0.822,0.602,,,,,,27.45,24.64,7.88,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
11betahsd1,GlideSP,,0.56,0.14,,,,,,4.887,2.444,2.982,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
17betahsd1,GlideSP,,0.555,0.197,,,,,,8.764,4.719,2.969,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
a2a,GlideSP,,0.776,0.453,,,,,,13.082,16.437,8.37,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace,GlideSP,,0.756,0.777,,,,,,26.486,23.769,13.456,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace2,GlideSP,,0.6,0.387,,,,,,8.85,9.531,9.992,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ache,GlideSP,,0.628,0.129,,,,,,4.371,4.708,2.961,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adam17,GlideSP,,0.848,0.301,,,,,,13.179,9.462,5.952,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adrb2,GlideSP,,0.62,0.173,,,,,,4.737,4.737,4.488,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
akt1,GlideSP,,0.709,0.18,,,,,,5.038,5.038,5.124,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
alr2,GlideSP,,0.628,0.262,,,,,,17.543,9.446,3.961,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ar,GlideSP,,0.621,0.664,,,,,,17.667,16.825,8.833,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurka,GlideSP,,0.929,0.526,,,,,,13.308,21.497,8.654,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurkb,GlideSP,,0.913,0.588,,,,,,21.661,18.662,8.451,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
bcl2,GlideSP,,0.563,0.033,,,,,,0,0,1.992,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
braf,GlideSP,,0.764,0.084,,,,,,4.418,2.379,2.028,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
catl,GlideSP,,0.643,0.078,,,,,,0,2.369,1.987,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cdk2,GlideSP,,0.867,0.253,,,,,,10.248,5.124,6.149,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cox1,GlideSP,,0.649,0.409,,,,,,19.179,14.385,5.552,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cox2,GlideSP,,0.901,0.52,,,,,,18.465,12.823,7.515,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ctsk,GlideSP,,0.531,0.209,,,,,,4.393,7.096,4.96,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cyp2a6,GlideSP,,0.436,0.347,,,,,,9.878,8.231,7.134,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
dhfr,GlideSP,,0.768,0.094,,,,,,4.346,2.34,2.494,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
egfr,GlideSP,,0.855,0.271,,,,,,13.231,7.124,6.073,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ephb4,GlideSP,,0.918,0.029,,,,,,0,0,1.022,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
erbb2,GlideSP,,0.99,0.96,,,,,,29.425,29.425,15.461,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
er-beta,GlideSP,,0.878,0.914,,,,,,28.448,25.287,14.901,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fgfr1,GlideSP,,0.884,0.582,,,,,,20.222,20.222,8.089,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fkbp1a,GlideSP,,0.501,0.635,,,,,,27.722,24.879,8.346,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fxa,GlideSP,,0.887,0.675,,,,,,25.449,27.994,8.144,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gba,GlideSP,,0.422,0.181,,,,,,8.821,7.125,2.988,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gr,GlideSP,,0.559,0.076,,,,,,4.361,2.348,1.969,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gsk3b,GlideSP,,0.904,0.623,,,,,,26.418,21.337,8.084,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac2,GlideSP,,0.652,0.531,,,,,,30.15,20.873,5.931,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac8,GlideSP,,0.23,0.007,,,,,,0,0,0.498,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1pr,GlideSP,,0.785,0.486,,,,,,29.535,18.554,6.778,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1rt,GlideSP,,0.661,0.216,,,,,,9.39,5.056,4.31,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hmgr,GlideSP,,0.947,0.957,,,,,,30.9,30.9,14.952,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hsp90,GlideSP,,0.769,0.137,,,,,,4.332,4.665,1.491,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
igf1r,GlideSP,,0.517,0.26,,,,,,15.158,7.579,3.136,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
inha,GlideSP,,0.704,0.502,,,,,,17.514,16.504,7.415,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
itk,GlideSP,,0.657,0.043,,,,,,0,0,1.495,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jak3,GlideSP,,0.901,0.458,,,,,,20.462,15.346,7.673,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk1,GlideSP,,0.768,0.336,,,,,,10.456,10.456,6.274,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk2,GlideSP,,0.481,0.341,,,,,,19.778,9.889,3.58,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk3,GlideSP,,0.825,0.28,,,,,,13.297,9.546,4.069,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
kif11,GlideSP,,0.616,0.478,,,,,,13.05,9.369,9.984,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
lck,GlideSP,,0.841,0.297,,,,,,10.256,10.256,5.128,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mdm2,GlideSP,,0.75,0.314,,,,,,16.611,11.074,5.537,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mk2,GlideSP,,0.824,0.286,,,,,,15.784,7.892,6.421,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mmp2,GlideSP,,0.589,0.015,,,,,,0,0,0.495,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
na,GlideSP,,0.975,0.747,,,,,,26.507,26.167,11.971,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
p38-alpha,GlideSP,,0.698,0.496,,,,,,21.839,14.112,7.397,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
parp-1,GlideSP,,0.971,0.76,,,,,,25.864,27.854,10.883,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde4b,GlideSP,,0.841,0.289,,,,,,13.484,9.68,4.06,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde5,GlideSP,,0.683,0.155,,,,,,9.211,7.439,2.08,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pdk1,GlideSP,,0.973,0.733,,,,,,31.553,26.294,13.673,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pi3kg,GlideSP,,0.932,0.344,,,,,,15.372,7.686,8.711,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-1,GlideSP,,0.866,0.493,,,,,,22.033,16.609,8.091,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-2,GlideSP,,0.876,0.254,,,,,,8.821,7.124,7.591,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pnp,GlideSP,,0.747,0.473,,,,,,21.946,16.544,6.442,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ppara,GlideSP,,0.673,0.11,,,,,,0,4.829,2.542,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pparg,GlideSP,,0.686,0.159,,,,,,4.721,2.36,3.479,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pr,GlideSP,,0.61,0.196,,,,,,9.743,7.971,4.497,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
prkcq,GlideSP,,0.877,0.492,,,,,,20.947,15.711,8.903,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-in,GlideSP,,0.92,0.864,,,,,,30.8,30.8,11.426,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-out,GlideSP,,0.755,0.848,,,,,,30.825,30.825,10.441,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
qpct,GlideSP,,0.767,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rock-1,GlideSP,,0.795,0.245,,,,,,8.821,7.124,4.555,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rxr,GlideSP,,0.979,0.992,,,,,,24.789,24.789,14.461,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sars-hcov,GlideSP,,0.552,0.14,,,,,,4.399,4.738,2.524,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sirt2,GlideSP,,0.546,0.053,,,,,,4.354,2.344,0.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
src,GlideSP,,0.718,0.17,,,,,,4.443,7.178,3.569,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
thrombin,GlideSP,,0.92,0.707,,,,,,27.203,21.972,11.446,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tie2,GlideSP,,0.626,0.294,,,,,,20.41,10.205,3.062,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tk,GlideSP,,0.794,0.815,,,,,,30.825,30.825,10.938,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tp,GlideSP,,0.698,0.33,,,,,,5.224,11.398,5.531,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tpa,GlideSP,,0.918,0.671,,,,,,20.386,22.934,10.366,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ts,GlideSP,,0.633,0.313,,,,,,8.671,9.338,5.97,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
upa,GlideSP,,0.744,0.713,,,,,,24.896,27.385,8.963,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr1,GlideSP,,0.616,0.495,,,,,,24.803,17.362,6.266,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr2,GlideSP,,0.864,0.175,,,,,,9.15,4.927,3.675,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
11betahsd1,GlideSP/GlideSP,,0.677774774,0.105088532,,,,,15.09,5.02991453,2.514957265,2.046066927,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
17betahsd1,GlideSP/GlideSP,,0.703896377,0.265960519,,,,,15.338,8.764285714,9.438461538,4.452822581,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
a2a,GlideSP/GlideSP,,0.768223906,0.447364932,,,,,15.35,8.771428571,14.16923077,8.912903226,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ace,GlideSP/GlideSP,,0.881506276,0.702372875,,,,,30.875,26.46428571,21.375,11.9516129,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ace2,GlideSP/GlideSP,,0.837864887,0.36514137,,,,,15.488,13.275,7.148076923,8.992741935,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ache,GlideSP/GlideSP,,0.714331075,0.119470668,,,,,15.263,4.360714286,2.348076923,2.954032258,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
adam17,GlideSP/GlideSP,,0.76512605,0.285478276,,,,,30.75,13.17857143,7.096153846,4.463709677,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
adrb2,GlideSP/GlideSP,,0.842911791,0.264045586,,,,,0,0,4.795833333,7.441810345,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
akt1,GlideSP/GlideSP,,0.733135922,0.186841127,,,,,0,5.051282051,7.576923077,3.535897436,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
alr2,GlideSP/GlideSP,,0.67413575,0.205583341,,,,,0,13.13571429,7.073076923,4.449193548,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ar,GlideSP/GlideSP,,0.839522233,0.671336049,,,,,0,16.92857143,16.12244898,9.169642857,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
aurka,GlideSP/GlideSP,,0.81092207,0.420779201,,,,,15.513,17.72893773,14.31952663,8.137873056,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
aurkb,GlideSP/GlideSP,,0.773595745,0.457637282,,,,,15.188,17.35714286,16.35576923,7.469262295,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
bcl2,GlideSP/GlideSP,,0.758241758,0.248560795,,,,,0,8.735714286,9.407692308,4.931451613,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
braf,GlideSP/GlideSP,,0.712820513,0.104888497,,,,,0,4.428571429,4.769230769,2.540983607,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
catl,GlideSP/GlideSP,,0.689438391,0.159991403,,,,,15.413,4.403571429,4.742307692,2.485887097,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cdk2,GlideSP/GlideSP,,0.851903114,0.218230781,,,,,0,0,7.475,5.98,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cox1,GlideSP/GlideSP,,0.747906734,0.426837824,,,,,28.718,23.93162393,11.96581197,6.153846154,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cox2,GlideSP/GlideSP,,0.938016256,0.839919235,,,,,23.108,18.48648649,20.54054054,11.82275299,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ctsk,GlideSP/GlideSP,,0.742782427,0.121411503,,,,,0,4.410714286,2.375,3.485887097,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cyp2a6,GlideSP/GlideSP,,0.763357796,0.263934444,,,,,0,0,2.774691358,6.659259259,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
dhfr,GlideSP/GlideSP,,0.686106419,0.118759456,,,,,15.3,4.371428571,4.707692308,2.467741935,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
egfr,GlideSP/GlideSP,,0.794146105,0.206947876,,,,,15.449,8.827838828,4.753451677,5.571668768,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ephb4,GlideSP/GlideSP,,0.628236797,0.014973829,,,,,0,0,0,1.492622951,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
erbb2,GlideSP/GlideSP,,0.96048951,0.888295253,,,,,29.6,24.66666667,27.13333333,14.30666667,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
er-beta,GlideSP/GlideSP,,0.951767241,0.936026899,,,,,28.586,28.5862069,28.5862069,15.6543514,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fgfr1,GlideSP/GlideSP,,0.757791923,0.504254301,,,,,14.738,14.7375,14.7375,8.49279661,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fkbp1a,GlideSP/GlideSP,,0.619843826,0.589265418,,,,,32.395,32.39473684,22.42712551,6.269949066,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fxa,GlideSP/GlideSP,,0.873883482,0.67760911,,,,,30.59,25.49145299,22.94230769,9.686752137,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gba,GlideSP/GlideSP,,0.452468619,0.252090824,,,,,15.438,13.23214286,9.5,2.987903226,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gr,GlideSP/GlideSP,,0.546597633,0.0898976,,,,,15.288,4.367857143,2.351923077,1.479435484,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gsk3b,GlideSP/GlideSP,,0.815523156,0.547393926,,,,,30.15,21.53571429,20.87307692,7.413934426,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hdac2,GlideSP/GlideSP,,0.733049404,0.560209849,,,,,30.35,30.35,23.34615385,6.468032787,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hdac8,GlideSP/GlideSP,,0.654271357,0.055151786,,,,,0,4.407142857,2.373076923,0.99516129,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hiv1pr,GlideSP/GlideSP,,0.800151296,0.731069115,,,,,32.865,28.16988417,25.28066528,9.697828977,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hiv1rt,GlideSP/GlideSP,,0.678920584,0.291208952,,,,,32.026,18.30075188,9.854251012,3.675150992,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
